RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,u_uid,r_rid
39353,85475,117961,118300,123472,117905,117906,290919,117908,0,0
17183,1540,117961,118343,123125,118536,118536,308574,118539,1,1
36724,14457,118219,118220,117884,117879,267952,19721,117880,2,2
42680,5905,117929,117930,119569,119323,123932,19793,119325,4,4
45333,14561,117951,117952,118008,118568,118568,19721,118570,5,5
25993,17227,117961,118343,123476,118980,301534,118295,118982,6,6
19666,4209,117961,117969,118910,126820,269034,118638,126822,7,7
31246,783,117961,118413,120584,128230,302830,4673,128231,8,8
78766,56683,118079,118080,117878,117879,304519,19721,117880,9,9
4675,3005,117961,118413,118481,118784,117906,290919,118786,10,10
15030,94005,117902,118041,119238,119093,138522,119095,119096,11,11
79954,46608,118315,118463,122636,120773,123148,118960,120774,12,12
4675,50997,91261,118026,118202,119962,168365,118205,119964,13,10
95836,18181,117961,118343,118514,118321,117906,290919,118322,14,13
19484,6657,118219,118220,118221,117885,117886,117887,117888,15,14
114267,23136,117961,118052,119742,118321,117906,290919,118322,16,15
35197,57715,117961,118446,118701,118702,118703,118704,118705,17,16
86316,7002,117961,118343,123125,118278,132715,290919,118279,18,17
27785,5636,117961,118413,122007,118321,117906,290919,118322,19,18
37427,5220,117961,118300,118458,120006,303717,118424,120008,20,19
15672,111936,117961,118300,118783,117905,240983,290919,117908,21,20
92885,744,117961,118300,119181,118777,279443,308574,118779,22,21
1020,85475,117961,118300,120410,118321,117906,290919,118322,23,22
4675,7551,117961,118052,118867,118259,117906,290919,118261,24,10
77385,14829,117961,118052,119986,117905,117906,290919,117908,26,24
20273,11506,118216,118587,118846,179731,128361,117887,117973,27,25
78098,46556,118090,118091,117884,118568,165015,19721,118570,28,26
79328,4219,117961,118300,120312,120313,144958,118424,120315,29,27
34687,815,117961,118300,123719,117905,117906,290919,117908,31,29
43452,169112,117902,118041,119781,118563,121024,270488,118565,32,30
78282,7445,117961,118343,122299,118054,121350,117887,118055,34,32
17183,794,118752,119070,117945,280788,152940,292795,119082,35,1
38658,1912,119134,119135,118042,120097,174445,270488,120099,36,33
14354,50368,117926,118266,117884,118568,281735,19721,118570,37,34
45019,1080,117961,118327,118378,120952,120953,118453,120954,38,35
13878,1541,117961,118225,123173,120812,123174,118638,120814,39,36
14570,46805,117929,117930,117920,118568,281735,19721,118570,40,37
74310,49521,117961,118300,118301,119849,235245,118638,119851,41,38
6977,1398,117961,118300,120722,118784,130735,290919,118786,42,39
31613,5899,117961,118327,120318,118777,296252,308574,118779,43,40
1020,21127,117961,118052,119408,118777,279443,308574,118779,44,22
19629,19645,117961,118413,118481,118784,240983,290919,118786,46,42
20279,17695,117890,117891,117878,117879,117879,19721,117880,49,45
