PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_ID,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,RESOURCE_ID,u_uid,r_rid
69546,8,33290,33798,39532,33268,33712,38722,34046,34542,33359,11078,1,1
54417,36963,33290,33775,63758,9,33291,45765,33283,33666,33285,9001,2,2
60017,8,33290,33360,43707,33326,33423,53401,33357,33358,33359,9001,8,2
52122,8,33290,54321,75544,33431,33291,39512,33283,36963,33285,7489,9,7
44431,8,33290,38008,73023,33431,33430,35894,33283,33584,33285,7489,10,7
76667,8,33369,33775,68296,33431,33291,44551,33283,33323,33285,9001,11,2
55829,8,33904,33769,75727,33289,33291,44059,2,33768,4,9001,12,2
58371,8,33290,34483,38734,33431,33430,50317,33316,34024,33317,9001,14,2
33677,8,33290,33676,77279,33289,33678,33801,33283,33927,33285,9001,16,2
36687,8,33290,33302,39721,9,33430,44111,33357,48274,33359,9001,17,2
41250,35227,33290,33798,63060,33289,33347,36816,33416,33529,33418,9667,18,4
59766,36963,33290,40011,69914,33431,33291,40313,33283,33284,33285,9001,19,2
34557,8,33290,35822,49068,9,33291,36283,33283,33323,33285,7489,21,7
70987,8,33290,33302,66786,33326,33430,33814,33283,36430,4,7489,22,7
61558,8,33290,39855,76561,33345,34851,61223,33283,33265,33285,9001,26,2
66967,8,33290,33718,43176,9,33461,38507,33426,35335,33428,9667,29,4
33518,33777,33290,34353,76180,9,33863,57150,33316,34024,33317,9667,30,4
33947,33751,33290,51594,68196,9,60887,38376,33426,33927,33428,7489,32,7
35559,8,33290,34662,43166,33289,33291,47733,33283,33300,33285,9001,33,2
53986,8,34474,34472,56237,33431,33430,40595,33339,34471,33301,9667,35,4
33336,8,33313,33279,38441,33275,11,33640,2,3,4,9771,37,14
44302,8,33290,39855,66364,9,34851,48695,33283,40641,33285,7489,39,7
41250,33777,33290,33676,59477,33431,34780,44551,33426,33323,33428,9001,40,2
59870,8,33313,37824,55563,9,33604,40923,2,35027,33341,5774,41,15
33336,8,33313,33438,75544,33309,11,38854,2,3,4,9771,42,14
38118,8,33290,33602,55222,33431,33430,59234,33416,35884,33418,7489,43,7
73350,8,33276,33273,68586,33431,34851,59160,2,3,4,9771,44,14
43527,8,33290,35207,37842,33289,33526,42734,33521,33544,33523,8624,45,16
62990,8,33290,37868,45985,9,33526,37102,33416,33689,33418,4610,47,18
36240,33751,33290,33798,39887,33431,33930,49318,33416,33529,33418,9667,48,4
44534,8,33290,37014,62735,33289,33450,43483,33316,33385,33317,9667,51,4
55633,8,33290,35228,60608,33431,33291,33512,33283,33284,33285,9001,53,2
