mechanism,varied_parameter,varied_value,feasible,USC,UTSP,UDP,delivery_time,time_ratio,quality_q,risk_cost,pS,avg_pT,avg_psr,pT,z,baseline_rule,decay_type,delivery_time_type,solver,risk_cap
Proposed,lambda,0.4,True,671.1360237948747,61.24727367366466,45.09380412714845,0.870994238460941,0.870994238460941,12.900576153905895,26.16374048676824,9.181222726159957,0.0006404239411670526,0.5300414995506588,0.00094270961;0;0.00053433421;0;0;0.004092643;0;0.0012685526;0;0.000206424;0,23495.216;0;9;0;0;27181.418;0;2;0;111.84662;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.4,True,585.602930893204,11.951080229097517,4.875098189389174,0.930713658159494,0.930713658159494,6.928634184050598,24.375490946945916,5.129626444989702,0.0003429588586707401,0.5076044101260124,1.7162417e-05;0;4.9276361e-05;0.00013401564;6.3958204e-05;0.0012228177;0.0009115984;0.00050742103;0;0.00032352888;0.00054276879,3578.47;0;9;2;2809.0475;13535.638;15951.95;2;0;292.1625;168.315,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.0002005566682209751
BGM,lambda,0.4,True,423.4589284445964,8.642018951295817,4.203763847405991,0.9648127793503763,0.9648127793503763,3.518722064962365,21.018819237029977,8.244424675568933,0.00028789136625853026,0.4967382744502666,1.6310297e-05;0;2.7431061e-06;0.00013401564;0.00011724666;0.00083911795;0.0006749227;0.00050742103;0;0.00026494595;0.0006100817,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.0002005566682209751
APM,lambda,0.4,True,622.3582423027526,12.701188626293217,6.257522052442781,0.9196635471503093,0.9196635471503093,8.03364528496907,25.03948679100935,4.721212843691162,0.0003614908120933114,0.49576564774086535,2.2704071e-05;0;6.2363936e-05;0;0;0.0014557354;0.0011957064;0.00052856357;0;0;0.00071132558,4089.68;0;10;0;80.2585;15469.3;18230.8;2;0;8.3475;192.36,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.0002005566682209751
Proposed,lambda,0.41000000000000003,True,668.3546368436259,56.73048436055108,43.78393361308106,0.875045947166565,0.875045947166565,12.495405283343498,25.50345218060681,8.991316731860252,0.0006386910344149074,0.5271088957014592,0.00093485214;0;0.00048325814;0;0;0.004100409;0;0.0013002664;0;0.0002068157;0,22731.107;0;8;0;0;26568.777;0;2;0;109.32571;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.41000000000000003,True,585.0296193461318,11.939379993442984,4.996975644123911,0.930713658159494,0.930713658159494,6.928634184050598,24.984878220619564,5.212371692009945,0.00035153283013750853,0.5076044101260124,1.7591477e-05;0;5.050827e-05;0.00013736603;6.5557159e-05;0.0012533882;0.00093438836;0.00052010655;0;0.00033161711;0.00055633801,3578.47;0;9;2;2809.0475;13535.638;15951.95;2;0;292.1625;168.315,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.0001907270884620332
BGM,lambda,0.41000000000000003,True,422.9645658161415,8.631929918062042,4.308857943591143,0.9648127793503763,0.9648127793503763,3.518722064962365,21.544289717955724,8.384919610755077,0.00029508865041499356,0.4967382744502666,1.6718055e-05;0;2.8116837e-06;0.00013736603;0.00012017782;0.0008600959;0.00069179577;0.00052010655;0;0.0002715696;0.00062533374,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.0001907270884620332
APM,lambda,0.41000000000000003,True,601.5429393344934,12.276386524252704,5.869090500238325,0.9262731373542774,0.9262731373542774,7.372686264572259,23.485099910948033,4.876037195011101,0.00034859929099826395,0.4930929616963283,2.1332982e-05;0;5.2612782e-05;0;0;0.001421075;0.0011270818;0.00054177766;0;0;0.000670712,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.0001907270884620332
Proposed,lambda,0.42000000000000004,True,665.614389365687,58.11878284740119,44.851834432903026,0.875045947166565,0.875045947166565,12.495405283343498,26.125487599646,9.210617139954403,0.0006542688645224669,0.5271088957014591,0.00095765341;0;0.00049504493;0;0;0.004200419;0;0.0013319802;0;0.00021185999;0,22731.107;0;8;0;0;26568.777;0;2;0;109.32571;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.42000000000000004,True,584.4563077990597,11.92767975778845,5.118853098858644,0.930713658159494,0.930713658159494,6.928634184050598,25.594265494293214,5.29511693903019,0.00036010680160427705,0.5076044101260124,1.8020537e-05;0;5.1740179e-05;0.00014071642;6.7156114e-05;0.0012839586;0.00095717832;0.00053279208;0;0.00033970533;0.00056990723,3578.47;0;9;2;2809.0475;13535.638;15951.95;2;0;292.1625;168.315,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00019072708846203318
