decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
linear,effectiveness,pS,5.0,sensitivity_pS,590.8152437098036,10.625349056130556,18.74351489674703,0.9293872192901247,5.0,,,0.49331323313818704,0.49331323313818704,7.061278070987531,11.870594726761842
linear,effectiveness,pS,5.134228187919463,sensitivity_pS,595.1179991429374,11.752162089457727,19.228270670294275,0.9277310731116404,5.134228187919463,,,0.4942678633803894,0.4942678633803894,7.226892688835962,12.224979910496916
linear,effectiveness,pS,5.268456375838926,sensitivity_pS,599.1292496042146,12.901092828839115,19.712611315507985,0.9261160744480241,5.268456375838926,,,0.4952102686489556,0.4952102686489556,7.388392555197587,12.580610479232599
linear,effectiveness,pS,5.402684563758389,sensitivity_pS,602.8697177823609,14.071596448712029,20.19655230185421,0.9245402106513299,5.402684563758389,,,0.4961409069428532,0.4961409069428532,7.545978934867015,12.937440024570742
linear,effectiveness,pS,5.5369127516778525,sensitivity_pS,606.3580080463345,15.263154526150068,20.680108161255045,0.9230016138454937,5.5369127516778525,,,0.4970602083562566,0.4970602083562566,7.699838615450627,13.295424950745012
linear,effectiveness,pS,5.671140939597316,sensitivity_pS,609.6108817656564,16.47527315967834,21.163292565760536,0.9214985473298214,5.671140939597316,,,0.4979685774024819,0.4979685774024819,7.850145267017861,13.654524241605401
linear,effectiveness,pS,5.805369127516778,sensitivity_pS,612.6434897321789,17.707481263081835,21.646118397137805,0.9200293935449875,5.805369127516778,,,0.4988663950948357,0.4988663950948357,7.997060645501253,14.014699251850361
linear,effectiveness,pS,5.939597315436242,sensitivity_pS,615.4695694110443,18.959329014288446,22.128597809382804,0.9185926433906115,5.939597315436242,,,0.49975402081475534,0.49975402081475534,8.140735660938848,14.37591351949221
linear,effectiveness,pS,6.073825503355705,sensitivity_pS,618.1016131787794,20.23038644206881,22.61074228501431,0.9171868867160076,6.073825503355705,,,0.5006317939932272,0.5006317939932272,8.281311328399244,14.738132596974483
linear,effectiveness,pS,6.208053691275168,sensitivity_pS,620.551012489787,21.520242135556494,23.09256268589049,0.9158108038326074,6.208053691275168,,,0.501500035627801,0.501500035627801,8.418919616739263,15.101323898722779
linear,effectiveness,pS,6.342281879194631,sensitivity_pS,622.8281819621334,22.828502063507027,23.574069299185037,0.914463157918934,6.342281879194631,,,0.5023590496544309,0.5023590496544309,8.553684208106604,15.46545656321592
